Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The boiling point of water in Fahrenheit is ____
 Answer: ",212,212,212,212,212,212,212,212,212,212,212,212,Ġ,Ġ,Ġ,70,70,Ġ,Ġ,Ġ,Ġ,Ġ,100,100,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The chemical symbol for gold is ____
 Answer: ",ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠAu,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠGold,ĠG,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,1,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The chemical formula for water is ____
 Answer: ",ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠH,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The first element in the periodic table is ____
 Answer: ",ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠHydro,ĠA,ĠHydro,ĠA,1,1,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The atomic mass of carbon is approximately ____
 Answer: ",12,12,12,12,12,12,12,12,12,Ġ,Ġ,6,6,Ġ,Ġ,2,Ġ,4,Ġ,4,3,4,1,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The speed of light in a vacuum is ____ meters per second
 Answer: ",300,300,300,299,299,300,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,Ġ,Ġ,ĠThe,Âł,4,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The acceleration due to gravity on Earth is ____ m/s²
 Answer: ",9,9,9,9,9,9,9,9,9,9,9,9,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,Ġ,Âł,1,1,1,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest bone in the human body is the ____
 Answer: ",Ġst,Ġst,ĠSt,1,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest organ in the human body is the ____
 Answer: ",ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠSkin,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The human body has ____ chromosomes
 Answer: ",46,46,46,46,46,Ġ,Ġ,Ġ,2,Ġ,2,Ġ,2,Ġ,2,Ġ,Ġ,2,Ġ,ĠThe,ĠThe,ĠThe,Ġ,Ġ,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The organ responsible for pumping blood is the ____
 Answer: ",ĠHeart,ĠHeart,Ġheart,Ġheart,Ġheart,Ġheart,Ġheart,Ġheart,Ġheart,Ġheart,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The process of cell division is known as ____
 Answer: ",ĠMit,Ġa,ĠA,ĠA,ĠA,Ġmit,Ġmit,Ġmit,Ġreproduction,Ġcell,ĠA,ĠA,ĠCell,ĠThe,ĠCell,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The powerhouse of the cell is called the ____
 Answer: ",ĠMit,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġnucleus,ĠThe,Ġnucleus,ĠThe,ĠThe,ĠThe,Ġmitochond,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  A binary tree with 3 levels has a maximum of ____ nodes
 Answer: ",7,7,7,7,7,7,Ġ,8,8,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,3,Ġ,Ġ,Ġ,2,Ġ,2,2,1,1,1,1,ellen
"Using Answer Using one word only :  The binary representation of the decimal number 5 is ____
 Answer: ",101,101,101,101,101,101,101,101,101,101,101,010,010,011,111,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,4,1,Ġ,5,Âł,Âł,Ġ,10,1,ellen
"Using Answer Using one word only :  A kilobyte is equal to ____ bytes
 Answer: ",102,102,102,102,Ġ,102,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,2,2,Ġ,4,Ġ,2,2,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  ASCII stands for ____
 Answer: ",ĠAmerican,ĠAmerican,ĠAmerican,ĠAmerican,ĠAmerican,ĠAmerican,ĠAmerican,ĠAmerican,ĠA,ĠA,ĠA,ĠA,ĠA,ĠASCII,ĠASCII,ĠASCII,ĠASCII,Ġ\,Ġ\,ĠC,Ġ\,ĠASCII,Âł,Âł,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  A stack operates on the principle of ____
 Answer: ",ĠLast,ĠLast,ĠLast,ĠLast,ĠL,ĠL,ĠFirst,ĠFirst,ĠFirst,ĠFirst,ĠFIFO,ĠStack,ĠA,ĠC,ĠStack,ĠStack,ĠStack,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠB,ĠB,Ġ,2,1,Ġ,1,1,1,ellen
"Using Answer Using one word only :  The base of the natural logarithm is ____
 Answer: ",Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,Ġe,2,2,1,1,1,Ġ,Âł,Ġ,Ġ,2,Ġ,Âł,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  2x+3=7 is ____
 Answer: ",ĠEquation,Ġ,Ġ,2,2,2,2,2,2,2,Ġ,Ġ,Ġ,2,2,Ġ,Ġ,Ġ,Ġ,Ġ,2,Ġ,Ġ,Ġ,2,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The square of the hypotenuse in a right triangle equals the sum of the squares of the other two sides, known as ____
 Answer: ",ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠPy,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____
 Answer: ",16,16,16,16,16,16,Ġ,18,18,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,4,Ġ,Ġ,Ġ,4,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The sum of the first 10 natural numbers is ____
 Answer: ",55,55,55,55,55,55,55,55,55,55,55,50,50,50,Ġ,Ġ,10,Ġ,Ġ,4,Ġ,Ġ,Âł,10,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest two-digit prime number is ____
 Answer: ",97,97,97,97,97,97,97,97,97,97,97,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,7,7,Ġ,Âł,Âł,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The height of a cone is required to calculate its ____
 Answer: ",ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠVolume,ĠThe,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The shape with 12 edges and 8 vertices is a ____
 Answer: ",icos,Ġd,Ġd,Ġd,Ġd,Ġd,Ġoct,Ġoct,8,8,Ġoct,Ġa,ĠHex,Ġtet,Ġtet,Ġtet,ĠB,Âł,ĠThe,Âł,Âł,ĠThe,Âł,4,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The measure of a straight angle is ____ degrees
 Answer: ",180,180,180,180,180,180,180,180,180,180,180,180,Ġ,Ġ,Ġ,90,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The slope of a line parallel to the x-axis is ____
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,Ġ,0,0,0,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The roots of a quadratic equation are found using the ____ formula
 Answer: ",Ġquadratic,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The measure of each angle in an equilateral triangle is ____ degrees
 Answer: ",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,90,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The diagonal of a square with side length 4 is ____
 Answer: ",5,5,5,5,5,8,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,4,Ġ,Ġ,Ġ,4,Ġ,4,4,4,Âł,4,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The value of cos(90°) is ____
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The sum of angles in a pentagon is ____ degrees
 Answer: ",540,540,540,540,180,180,180,180,180,180,180,360,360,180,180,180,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The sine of 30 degrees is ____
 Answer: ",1,1,1,1,1,1,Ġ\,0,0,0,0,1,0,1,1,0,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The formula for the volume of a sphere is ____
 Answer: ",4,4,4,4,4,4,ĠThe,ĠThe,ĠV,ĠVolume,ĠThe,ĠVolume,3,ĠVolume,ĠVolume,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The derivative of sin(x) is ____
 Answer: ",Ġcos,Ġcos,Ġcos,1,Ġcos,1,Ġcos,Ġcos,Ġ-,Ġ-,Ġ-,1,1,2,2,1,2,Âł,Ġ,Ġ,Ġ,Ġ,Âł,1,1,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The integral of 𝑒^𝑥𝑑𝑥 is ____
 Answer: ",ĠðĿ,ĠðĿ,Ġe,Ġe,Ġe,ĠðĿ,ĠðĿ,Ġe,ĠðĿ,ĠðĿ,Ġ,1,Âł,Âł,Ġ,Ġ$$,Ġ,Ġ,Ġ,Âł,Âł,Âł,Âł,Âł,1,1,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The year World War I began was ____
 Answer: ",191,191,191,191,191,191,191,191,191,Ġ,Ġ,191,191,191,191,191,191,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Renaissance began in the ____ century
 Answer: ",15,15,15,15,14,14,Ġ,16,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠRenaissance,ĠThe,ĠThe,Ġ,Ġ,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The explorer who discovered America in 1492 was ____
 Answer: ",ĠColumbus,1,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠChristopher,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCapital,ĠCanada,ĠCanada,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The continent with the largest population is ____
 Answer: ",ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠAsia,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The island nation known for its ""Ring of Fire"" is ____
 Answer: ",ĠIndonesia,ĠNew,ĠNew,ĠIndonesia,ĠIndonesia,ĠA,ĠThe,ĠThe,ĠA,ĠA,ĠA,ĠIndonesia,ĠIndonesia,ĠVol,ĠSri,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The smallest continent by land area is ____
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Taj Mahal was built in the year ____
 Answer: ",163,163,163,163,163,163,Ġ,164,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The Roman Colosseum is located in ____
 Answer: ",ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Great Barrier Reef is found in the country of ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The value of log(1) is ____
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Ġ,1,Ġ,1,1,1,Ġ,1,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The reciprocal of 2 is ____
 Answer: ",0,0,1,1,1,1,0,Â½,Â½,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ,Âł,Ġ,2,2,Ġ,1,1,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  A prime number greater than 2 is always ____
 Answer: ",ĠOdd,ĠOdd,ĠOdd,ĠOdd,Ġodd,Ġodd,Ġodd,Ġodd,Ġodd,Ġodd,Ġodd,Ġodd,3,3,2,Ġa,Ġa,ĠA,ĠA,ĠA,ĠA,ĠA,Âł,1,1,Ġ,2,1,Ġ,1,1,1,ellen
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,Ġ,4,4,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The sum of the interior angles of a hexagon is ____ degrees
 Answer: ",720,720,720,720,720,180,180,180,180,180,180,180,180,180,180,180,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The solution to 𝑥^2-3𝑥-4=0 is ____
 Answer: ",2,2,2,2,2,2,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,2,2,2,2,Ġ,Ġ,Âł,Ġ,Ġ,Âł,ĠA,Âł,4,1,1,1,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The product of two negative numbers is always ____
 Answer: ",ĠPositive,ĠNegative,Ġpositive,Ġpositive,Ġpositive,ĠPositive,Ġpositive,Ġpositive,Ġpositive,Ġpositive,Ġpositive,Ġpositive,Ġ,Ġa,Ġ-,Ġ,Ġ-,Âł,Ġ,Ġ,Âł,ĠThe,Âł,1,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The 10th term of the arithmetic sequence 2, 4, 6, ... is ____
 Answer: ",20,20,18,18,18,18,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,10,10,6,Âł,Ġ,4,2,Ġ,4,4,1,Ġ,2,Âł,Âł,1,1,1,ellen
"Using Answer Using one word only :  The decimal equivalent of 3/4 is ____
 Answer: ",0,0,0,0,0,0,0,0,0,Ġ.,Ġ.,Ġ,Ġ,Ġ,Ġ,Ġ,4,4,Ġ,3,3,3,3,4,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The first four digits of pi are ____
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,Ġ,4,4,Âł,Ġ,4,Âł,7,4,4,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The square of -7 is ____
 Answer: ",49,49,49,49,49,49,49,49,49,49,49,Ġ,Ġ,Ġ-,Ġ-,Ġ,Ġ,Âł,Ġ,7,7,7,Âł,7,1,Ġ,2,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The value of 2×10^3 is ____
 Answer: ",200,200,200,200,200,200,Ġ,200,Ġ,Ġ,Ġ,2,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,2,Ġ,1,1,1,2,2,2,Âł,1,10,1,ellen
"Using Answer Using one word only :  The area of a square with side 5 is ____
 Answer: ",25,25,25,25,25,25,25,25,25,25,25,25,25,25,Ġ,Ġ,Ġ,5,Ġ,Ġ,Ġ,Ġ,Âł,4,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The number of diagonals in a hexagon is ____
 Answer: ",6,6,6,6,6,6,6,6,6,6,6,Ġ,Ġ,Ġ,4,4,6,4,4,4,3,3,2,4,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The cube of 3 is ____
 Answer: ",27,9,27,Ġ,27,27,Ġ,27,27,27,9,9,9,9,Ġ,Ġ,3,3,3,3,3,Ġ,4,Ġ,1,Ġ,2,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The approximate value of 2 is ____
 Answer: ",1,1,1,1,1,1,1,2,2,2,Ġ,2,2,2,2,2,Ġ,Ġ,Ġ,Ġ,2,Ġ,1,1,1,Ġ,2,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The log base 10 of 1000 is ____
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,ĠLog,ĠLog,Ġ,Ġ,Ġ,4,2,Ġ,1,10,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The volume of a cylinder is calculated as ____
 Answer: ",ĠÏĢ,ĠThe,ĠÏĢ,ĠThe,ĠÏĢ,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,3,3,ĠVolume,ĠVolume,ĠVolume,ĠVolume,Âł,Ġ,Âł,Âł,ĠThe,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The height of Mount Everest is ____ meters
 Answer: ",884,884,884,884,884,884,884,884,884,884,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,2,Âł,5,1,10,1,ellen
"Using Answer Using one word only :  The longest wall in the world is ____
 Answer: ",ĠGreat,ĠGreat,ĠGreat,ĠGreat,ĠGreat,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠWall,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Ġ,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The first president of the United States was ____
 Answer: ",ĠGeorge,ĠGeorge,ĠGeorge,1,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠGeorge,ĠJohn,ĠJohn,ĠJohn,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The year the Titanic sank was ____
 Answer: ",191,191,191,191,191,191,191,191,191,191,191,191,191,Ġ,191,191,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Âł,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The Cold War ended in the year ____
 Answer: ",199,199,199,199,199,199,199,199,199,199,199,199,199,198,198,199,199,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,Ġ,1,1,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The current population of the world is approximately ____ billion
 Answer: ",7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,Ġ,Ġ,Ġ,Ġ,7,Ġ,Ġ,Ġ,Ġ,1,Ġ,2,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The planet closest to the sun is ____
 Answer: ",ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠA,ĠA,ĠA,ĠA,ĠMercury,ĠMercury,1,ĠMercury,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The largest planet in our solar system is ____
 Answer: ",ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠJupiter,ĠLarge,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,Âł,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The number of moons Jupiter has is approximately ____
 Answer: ",63,63,63,63,63,63,64,16,Ġ,Ġ,Ġ,Ġ,Ġ,6,6,7,6,6,4,4,3,3,2,1,1,Ġ,2,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The formula for force in physics is ____
 Answer: ",ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠF,ĠA,ĠA,ĠNewton,ĠNewton,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,1,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The SI unit of power is ____
 Answer: ",ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠWatt,ĠPower,ĠA,ĠWatt,ĠWatt,ĠA,ĠPower,ĠPower,Ġ__,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The atomic number of iron is ____
 Answer: ",26,26,26,26,26,26,26,26,26,26,26,6,6,6,6,6,7,7,7,7,4,Ġ,1,1,1,Ġ,1,1,Âł,1,10,1,ellen
"Using Answer Using one word only :  The chemical symbol for sodium is ____
 Answer: ",ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠNa,ĠSodium,ĠSodium,ĠA,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The boiling point of mercury is ____ degrees Celsius
 Answer: ",357,357,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ-,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The scientist who discovered gravity was ____
 Answer: ",ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,Ġ,Âł,Âł,Âł,1,10,1,ellen
