Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The notebooks in ""Death Note"" have the ability to ____ anyone whose name is written in them.
 Answer: ",Ġerase,Ġerase,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Edward Elric and his brother Alphonse practice ____ in ""Fullmetal Alchemist.""
 Answer: ",Ġmagic,ĠAl,1,ĠThe,ĠThe,ĠD,ĠD,1,1,1,ĠEdward,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""Demon Slayer,"" Tanjiro Kamado wields a sword that changes color based on its ____.
 Answer: ",ĠFlame,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The anime ""Sword Art Online"" takes place in a ____ reality game.
 Answer: ",ĠThe,ĠSecond,ĠSecond,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The giant robots in ""Neon Genesis Evangelion"" are called ____.
 Answer: ",ĠEvangel,1,1,1,ĠGundam,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""Tokyo Ghoul,"" Ken Kaneki becomes a half-____.
 Answer: ",ĠGh,ĠGh,Ġhalf,ĠA,ĠA,ĠA,Ġ[,1,1,1,ĠIn,ĠIn,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The village where Naruto Uzumaki grows up is called ____ Village.
 Answer: ",ĠKon,ĠK,ĠNaruto,ĠNaruto,ĠNaruto,ĠNaruto,ĠThe,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""One Punch Man,"" Saitama becomes the world's strongest hero but struggles with ____ boredom.
 Answer: ",ĠWeak,1,1,1,ĠA,Ġboredom,ĠIn,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The character Levi Ackerman in ""Attack on Titan"" is famous for his exceptional ____ skills.
 Answer: ",ĠStrength,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Light Yagami in ""Death Note"" is pursued by a detective known only as ____.
 Answer: ",ĠLight,ĠL,ĠLight,ĠLight,ĠLight,ĠThe,ĠThe,1,1,1,1,ĠThe,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""Dragon Ball Z,"" Vegeta is the prince of the ____ race.
 Answer: ",ĠSai,ĠSai,ĠDragon,ĠVeget,ĠEarth,ĠEarth,ĠThe,2,2,1,ĠIn,ĠIn,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Straw Hat Pirates' ship in ""One Piece"" is called the ____ Merry.
 Answer: ",ĠStraw,ĠStraw,ĠStraw,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The main villain in ""Naruto"" is an organization called the ____.
 Answer: ",ĠThe,ĠJ,ĠKon,ĠThe,ĠK,ĠThe,ĠThe,ĠThe,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""My Hero Academia,"" Katsuki Bakugo’s Quirk allows him to create ____ explosions.
 Answer: ",ĠExplosion,1,1,1,ĠK,ĠA,1,1,1,1,ĠIn,ĠIn,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Real-Life Situations with Anime Characters
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Goku forgot his grocery list while shopping and accidentally bought ____ instead of milk.
 Answer: ",Ġmilk,2,2,ĠThe,Ġmilk,1,1,1,1,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  Naruto missed the train to work because he stopped to help a lost ____.
 Answer: ",ĠNaruto,2,2,1,1,1,1,1,1,1,1,ĠAnswer,1,1,1,1,Ġ
"Using Answer Using one word only :  Mikasa was late for her meeting because she had to fight off a ____ in the subway.
 Answer: ",ĠPanic,1,1,ĠThe,ĠA,ĠA,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Tanjiro and Nezuko helped their neighbor by fixing a broken ____.
 Answer: ",Ġbridge,Ġdoor,Ġdoor,Ġa,ĠT,ĠT,1,1,1,ĠTan,ĠTan,ĠThe,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Levi cleaned the entire office after everyone left, using his famous ____ skills.
 Answer: ",ĠAnswer,1,ĠClean,1,1,ĠScr,Ġhe,1,1,1,1,ĠThe,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  L from ""Death Note"" figured out the thief's identity just by analyzing the ____.
 Answer: ",1,2,ĠD,ĠA,ĠL,ĠA,1,1,1,1,1,ĠThe,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  Saitama joined a gym to improve his workout routine but left because it was too ____.
 Answer: ",Ġboring,Ġboring,Ġboring,Ġboring,Ġboring,ĠA,1,1,1,1,1,ĠThe,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  Eren Yeager accidentally broke his friend's phone while trying to ____.
 Answer: ",1,1,1,1,ĠRe,ĠRe,Ġc,1,1,1,1,ĠThe,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  Ichigo volunteered at a community center to teach ____ lessons.
 Answer: ",Ġkar,Ġkar,Ġkar,Ġkar,ĠA,ĠIch,ĠIch,1,1,1,ĠIch,ĠAc,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  Deku helped a child cross the street safely by using his knowledge of ____.
 Answer: ",1,1,2,ĠThe,ĠD,ĠD,ĠAdapt,1,1,1,ĠDek,ĠThe,ĠThe,ĠKey,1,1,Ġ
"Using Answer Using one word only :  The capital city of Japan is ____.
 Answer: ",ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠTokyo,ĠJapan,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary ingredient in sushi is ____.
 Answer: ",Ġrice,ĠThe,Ġsushi,Ġsushi,Ġsushi,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The official language of France is ____.
 Answer: ",ĠFrench,ĠFrench,ĠFrench,ĠFrench,ĠFrench,ĠFrench,ĠFrench,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Water freezes at ____ degrees Celsius.
 Answer: ",0,0,0,0,0,2,0,2,2,1,ĠWater,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The opposite of ""hot"" is ____.
 Answer: ",Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The plural form of ""mouse"" is ____.
 Answer: ",Ġmice,Ġmice,Ġmice,Ġmice,Ġmice,1,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A person who writes books is called an ____.
 Answer: ",ĠWriter,1,1,1,1,ĠA,1,1,1,1,ĠA,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The sun rises in the ____.
 Answer: ",ĠEast,ĠEast,1,ĠThe,ĠThe,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",4,3,3,3,3,6,3,2,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for water is ____.
 Answer: ",ĠH,ĠH,ĠH,ĠH,2,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of turning liquid into vapor is called ____.
 Answer: ",ĠVapor,2,ĠVapor,ĠVapor,ĠVapor,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The fastest land animal is the ____.
 Answer: ",ĠThe,2,ĠElephant,ĠThe,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A person who studies planets and stars is called an ____.
 Answer: ",ĠAstr,ĠAstr,ĠAstr,ĠAstr,ĠAstr,ĠA,1,1,1,1,ĠA,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The number of days in a leap year is ____.
 Answer: ",29,29,29,4,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The planet closest to the sun is ____.
 Answer: ",ĠVenus,1,1,ĠVenus,ĠVenus,ĠVenus,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency used in the United States is the ____.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,1,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",ĠThe,ĠElephant,ĠElephant,ĠElephant,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process plants use to make food is called ____.
 Answer: ",ĠPhotos,1,1,1,2,Ġfermentation,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The author of ""Harry Potter"" is ____.
 Answer: ",ĠJ,ĠJ,ĠJ,ĠJK,ĠRowling,ĠRowling,ĠRowling,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest continent on Earth is ____.
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Anime-Specific Themes (Advanced)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The move ""Kamehameha"" was invented by ____ in ""Dragon Ball.""
 Answer: ",ĠKak,ĠKak,ĠGoku,ĠGoku,ĠK,ĠK,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  In ""Naruto,"" the Fourth Hokage is also known as the Yellow ____ of the Leaf.
 Answer: ",ĠHok,4,ĠSas,ĠHok,ĠNaruto,ĠThe,1,1,1,1,ĠIn,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The deadly poison used by Koro-Sensei in ""Assassination Classroom"" is derived from ____.
 Answer: ",1,1,1,1,1,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Phantom Troupe in ""Hunter x Hunter"" is led by ____.
 Answer: ",ĠGon,ĠGon,ĠGon,ĠKu,ĠSh,ĠThe,ĠThe,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The legendary Pokémon found in ""Pokémon"" movies is ____.
 Answer: ",ĠPikachu,ĠPikachu,ĠPikachu,ĠPikachu,ĠPikachu,ĠPokÃ©mon,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Luffy gains his powers in ""One Piece"" by eating a ____ Fruit.
 Answer: ",ĠStraw,ĠBanana,ĠBanana,ĠStraw,ĠA,1,1,1,1,1,1,1,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  In ""Fairy Tail,"" Natsu Dragneel is known as the Fire Dragon ____.
 Answer: ",ĠDragon,ĠDragon,ĠDragon,ĠDragon,ĠN,ĠDragon,1,1,1,1,1,ĠIn,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The school in ""My Hero Academia"" is called ____ Academy.
 Answer: ",1,1,ĠAll,1,1,ĠThe,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  ""Attack on Titan"" features walls named after female ____.
 Answer: ",ĠTitans,"Ġ""","Ġ""","Ġ""","Ġ""","Ġ""","Ġ""",1,1,1,ĠAnswer,ĠThe,ĠThe,"Ġ""",1,1,Ġ
"Using Answer Using one word only :  In ""Bleach,"" the Soul Society is governed by the ____ 13.
 Answer: ",13,13,13,13,13,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Mixed Real-Life + Anime Characters
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  Goku ran a marathon but stopped halfway to eat ____ with his friends.
 Answer: ",Ġnoodles,1,1,1,Ġpizza,ĠThe,1,1,1,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  Naruto became a chef and created a signature dish called ____ Ramen.
 Answer: ",ĠU,ĠRam,Ġramen,Ġramen,Ġramen,Ġramen,Ġramen,1,1,1,1,ĠAnswer,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  Tanjiro helped design a neighborhood park shaped like a giant ____.
 Answer: ",Ġdragon,ĠT,ĠDragon,ĠT,ĠT,ĠT,ĠT,1,1,ĠTan,ĠTan,ĠThe,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Mikasa worked as a detective, solving crimes using her unmatched ____ skills.
 Answer: ",Ġintelligence,ĠDed,Ġdetective,Ġintelligence,Ġcunning,Ġcunning,ĠI,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Saitama opened a barbershop but quit because all his customers wanted ____ haircuts.
 Answer: ",1,1,1,1,ĠA,ĠA,1,1,1,1,1,ĠThe,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  The result of 5+3 is ____.
 Answer: ",8,8,6,6,6,6,6,2,1,1,1,5,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Subtracting 7 from 15 gives ____.
 Answer: ",8,8,8,8,2,15,7,7,1,1,7,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Multiplying 6 by 4 gives ____.
 Answer: ",24,24,24,20,6,8,6,6,6,6,6,1,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Dividing 16 by 4 gives ____.
 Answer: ",4,4,4,4,2,2,6,2,2,1,1,2,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The square of 5 is ____.
 Answer: ",25,25,25,25,20,5,4,2,5,1,5,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  9−6+2 equals ____.
 Answer: ",12,Ġ,Ġ,Ġ,6,6,6,6,9,9,9,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  The sum of 12, 8, and 5 is ____.
 Answer: ",25,21,21,20,15,6,6,6,2,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If you double 14, you get ____.
 Answer: ",22,28,22,28,16,2,6,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Half of 18 is ____.
 Answer: ",9,9,9,9,6,2,6,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  (three cubed) equals ____.
 Answer: ",36,1,8,16,3,3,3,6,1,1,Ġ(,Ġ(,Ġ(,Ġ(,1,1,Ġ
"Using Answer Using one word only :  The perimeter of a square with side length 4 is ____.
 Answer: ",16,16,16,16,16,4,4,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If a train travels 60 miles per hour for 3 hours, it covers ____ miles.
 Answer: ",120,120,120,120,60,6,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The area of a rectangle with a length of 10 and width of 5 is ____.
 Answer: ",100,25,25,25,20,8,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  100−(25+30) equals ____.
 Answer: ",100,Ġ,Ġ,Ġ,100,100,6,6,100,10,100,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The value of 2×(3+7) is ____.
 Answer: ",15,9,12,12,13,2,2,2,2,1,2,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If 𝑥=4, the value of 2𝑥+3 is ____.
 Answer: ",5,6,6,6,6,2,2,2,2,2,2,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The factorial of 4 is ____.
 Answer: ",24,24,24,24,16,1,4,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  4! equals ____.
 Answer: ",4,Ġ,24,24,6,Ġ,6,6,1,1,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  45 divided by 9 is ____.
 Answer: ",5,5,5,5,5,5,6,1,1,1,1,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  The least common multiple (LCM) of 3 and 4 is ____.
 Answer: ",12,6,8,8,2,2,3,2,1,1,1,3,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The greatest common divisor (GCD) of 18 and 24 is ____.
 Answer: ",6,6,6,6,2,2,7,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Anime-Related Arithmetic Questions
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠAnswer,ĠI,1,1,Ġ
"Using Answer Using one word only :  If Naruto eats 3 bowls of ramen every hour, how many bowls does he eat in 5 hours? ____.
 Answer: ",5,3,1,1,1,2,2,2,1,1,1,1,1,ĠIf,1,1,Ġ
"Using Answer Using one word only :  Luffy collects 15 berries per island. If he visits 6 islands, he collects ____ berries.
 Answer: ",15,15,15,15,15,5,6,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Saitama defeats 4 monsters every minute. In 10 minutes, he defeats ____ monsters.
 Answer: ",5,5,5,5,4,5,5,6,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If Goku trains for 8 hours a day for 7 days, he trains a total of ____ hours.
 Answer: ",48,8,48,48,8,8,8,2,1,1,1,1,1,ĠIf,1,1,Ġ
"Using Answer Using one word only :  Mikasa has 10 blades, but 2 get damaged. She is left with ____ blades.
 Answer: ",8,8,6,6,5,5,5,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Tanjiro and Nezuko hunt demons together, defeating 5 demons per night. In 3 nights, they defeat ____ demons.
 Answer: ",5,5,5,5,5,5,1,1,1,1,ĠTan,1,1,ĠKey,1,1,Ġ
"Using Answer Using one word only :  Levi cleans 12 rooms in 3 hours. On average, he cleans ____ rooms per hour.
 Answer: ",12,3,3,3,1,1,8,2,2,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  If Deku saves 2 people every 15 minutes, in 1 hour he saves ____ people.
 Answer: ",15,2,2,2,2,2,2,2,2,1,1,1,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  The Z Warriors need 100 senzu beans for their group, but they only have 40. They need ____ more beans.
 Answer: ",100,2,2,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  40. They need ____ more beans.
 Answer: ",Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,1,Ġ,Ġ,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The Straw Hat Pirates sail 50 miles per day. In 6 days, they travel ____ miles.
 Answer: ",50,50,30,30,50,6,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  6 days, they travel ____ miles.
 Answer: ",Ġ,Ġ,Ġ,Ġ,6,6,6,6,6,6,6,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  General Arithmetic Questions
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠQuestion,ĠQuestion,ĠGeneral,1,1,Ġ
"Using Answer Using one word only :  8+6×2 equals ____.
 Answer: ",12,Ġ,16,16,16,Ġ,8,6,8,8,8,Ġ,1,1,1,1,Ġ
"Using Answer Using one word only :  The result of 10^2 is ____.
 Answer: ",100,100,100,100,10,10,10,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  10^2 is ____.
 Answer: ",100,Ġ,Ġ,Ġ,16,10,10,2,10,10,10,Ġ,2,Ġ,1,1,Ġ
"Using Answer Using one word only :  A triangle with sides 3, 4, 5 has a perimeter of ____.
 Answer: ",12,15,15,15,6,6,3,3,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A triangle with sides 3, 4, 5 has a perimeter of ____.
 Answer: ",12,15,15,15,6,6,3,3,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",9,3,3,3,6,2,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  27 is ____.
 Answer: ",Ġ,Ġ,Ġ,1,2,2,1,1,1,1,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  7×9 equals ____.
 Answer: ",Ġ,Ġ,Ġ,Ġ,72,Ġ,8,6,7,Ġ,Ġ,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The sum of the angles in a triangle is always ____ degrees.
 Answer: ",180,90,90,90,90,90,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cost of 5 items at 12 dollars each is ____ dollars.
 Answer: ",25,25,25,25,15,1,6,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cost of 5 items at 12 dollars each is ____ dollars.
 Answer: ",25,25,25,25,15,1,6,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If a rectangle has a length of 8 and a width of 3, its area is ____ square units.
 Answer: ",16,24,24,24,16,8,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If a rectangle has a length of 8 and a width of 3, its area is ____ square units.
 Answer: ",16,24,24,24,16,8,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  15÷(3+2) equals ____.
 Answer: ",5,Ġ,Ġ,Ġ,6,6,6,6,5,10,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  A car travels 90 kilometers in 2 hours. Its speed is ____ kilometers per hour.
 Answer: ",60,60,60,30,2,2,2,2,1,1,1,1,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Mixed Scenarios
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠQuestion,ĠI,1,1,Ġ
"Using Answer Using one word only :  If Luffy’s ship can hold 20 barrels of water and they use 5 barrels per day, the water lasts for ____ days.
 Answer: ",5,5,5,5,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Tanjiro buys 3 swords, each costing 15 coins. He spends a total of ____ coins.
 Answer: ",15,15,15,30,30,5,20,2,1,1,1,1,1,ĠKey,1,1,Ġ
"Using Answer Using one word only :  Saitama finishes 4 push-ups every 10 seconds. In 1 minute, he completes ____ push-ups.
 Answer: ",100,4,4,4,4,5,6,6,1,1,1,1,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  Naruto learns 2 new jutsu per month. After 6 months, he has learned ____ jutsu.
 Answer: ",2,2,2,2,2,2,2,2,1,1,1,ĠAnswer,1,1,1,1,Ġ
"Using Answer Using one word only :  If Eren eats 3 loaves of bread per day, in 7 days he eats ____ loaves.
 Answer: ",7,7,7,7,6,2,8,2,1,1,1,ĠThe,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  If Eren eats 3 loaves of bread per day, in 7 days he eats ____ loaves.
 Answer: ",7,7,7,7,6,2,8,2,1,1,1,ĠThe,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  Goku does 500 sit-ups daily. In a week, he completes ____ sit-ups.
 Answer: ",500,500,500,500,500,5,5,1,1,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  If Deku can lift 80 kg and Bakugo can lift 120 kg, their combined lift is ____ kg.
 Answer: ",120,160,120,120,120,2,8,2,2,1,1,ĠThe,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  Ichigo takes 2 hours to complete a mission. If he has 5 missions, he takes ____ hours in total.
 Answer: ",5,2,2,2,2,5,8,1,1,1,ĠIch,1,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  Levi earns 15 points per clean room. If he cleans 8 rooms, he earns ____ points.
 Answer: ",15,15,15,120,15,5,8,2,1,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  Levi earns 15 points per clean room. If he cleans 8 rooms, he earns ____ points.
 Answer: ",15,15,15,120,15,5,8,2,1,1,1,1,1,1,1,1,Ġ
"Using Answer Using one word only :  If Nezuko can run 8 miles per hour, she covers ____ miles in 4 hours.
 Answer: ",4,4,4,4,8,8,8,8,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Arithmetic with Fractions and Percentages
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Half of 50 is ____.
 Answer: ",25,25,25,25,25,2,6,2,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  25% of 80 is ____.
 Answer: ",40,Ġ,Ġ,16,20,20,25,2,5,10,5,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  80 is ____.
 Answer: ",Ġ,Ġ,Ġ,1,Ġ,Ġ,1,1,1,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,Ġ
"Using Answer Using one word only :  If 3/4 of a cake is eaten, 1/4 of the cake is left.
 Answer: ",1,1,1,1,1,1,1,2,1,1,1,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The decimal form of 1/8 is ____.
 Answer: ",1,1,1,0,0,1,1,1,1,1,1,1,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  10% of 200 equals ____.
 Answer: ",Ġ,Ġ,Ġ,10,20,10,10,6,10,10,10,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  5/6 of 30 equals ____.
 Answer: ",5,Ġ,Ġ,5,5,6,6,6,5,5,5,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  Converting 0.25 into a fraction gives ____.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  15% of 300 equals ____.
 Answer: ",Ġ,Ġ,Ġ,Ġ,30,15,6,6,5,10,Ġ,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  If 2/5 of a field is plowed, the remaining fraction is ____.
 Answer: ",1,1,1,1,1,1,1,2,2,1,2,2,2,ĠThe,1,1,Ġ
"Using Answer Using one word only :  40% of 90 equals ____.
 Answer: ",40,Ġ,Ġ,20,30,Ġ,6,6,10,10,10,Ġ,3,Ġ,1,1,Ġ
