Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" The law of reflection states that the angle of incidence is equal to the angle of ____
 Answer: ",1,1,Ġreflection,Ġreflection,Ġreflection,Ġreflect,Ġreflect,dued,dued,dued,dued,paque,iteDatabase,iteDatabase,Ġanswer,presso,presso,LastError,'gc,'gc,Uvs,#ab,ktop,STYPE,ibri,icha,ULSE,ULSE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The speed of a wave is calculated as ____
 Answer: ",1,1,Ġspeed,adero,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,Ġspeed,jab,Î¼Î¼,_tA,aeper,Ġstripslashes,<typeof,ÑĤÐ¾Ñİ,Sharper,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,_nh,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The unit of electric current is ____
 Answer: ",1,ĠAmp,ĠAmp,ĠAmp,ĠAmp,ĠAmp,ĠAmp,amps,Ġunit,Ġunit,åįķä½į,iteDatabase,iteDatabase,iteDatabase,iteDatabase,'gc,'gc,'gc,'gc,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The resistance of a conductor is measured in ____
 Answer: ",1,1,ĠOh,Ġoh,Ġoh,Ġoh,Ġoh,Ġoh,Resistance,ĠResistance,Resistance,Resistance,iteDatabase,iteDatabase,Ġanswer,'gc,'gc,HeaderCode,LIK,<typeof,ÑĤÐ¾Ñİ,CurrentValue,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first programmable computer was invented in the year ____
 Answer: ",Ġ,Ġ,194,194,194,194,194,194,195,194,195,195,abbage,abbage,ĠGrove,ãĤ¥,unken,ÏĦÏİ,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,#ab,.scalablytyped,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The founder of the company Apple was ____
 Answer: ",1,ĠJobs,ĠJobs,ĠJobs,ĠJobs,ĠJobs,ĠJobs,ĠJobs,ĠApple,.apple,.apple,ĠApple,ateg,iteDatabase,ateg,presso,ĠUNU,Ġcirc,'gc,acha,ÑĤÐ¾Ñİ,ltk,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The binary value of the decimal number 8 is ____
 Answer: ",Ġ,100,10,10,110,110,110,111,ĠBanc,ĠBin,ĠBin,ĠBin,bsp,icans,ĠaddCriterion,oins,Ġsaddle,STYPE,ptest,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The smallest particle of an element is called ____
 Answer: ",1,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,atoms,atoms,atoms,atoms,Ġanswer,iteDatabase,iteDatabase,Ġanswer,presso,presso,Ġcirc,LIK,<typeof,ÑĤÐ¾Ñİ,CurrentValue,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The SI unit of distance is ____
 Answer: ",1,Ġmeter,Ġmeter,Ġmeter,Ġmeter,Ġmeter,Ġmeter,Ġmeter,Ġmeter,/**ĊĊ,erializer,yscale,Ġdistances,à¹Ģà¸ķà¸Ńà¸£,à¹Ģà¸ķà¸Ńà¸£,'gc,eum,aData,LIK,<typeof,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The number of protons in hydrogen is ____
 Answer: ",1,1,1,1,1,Ġpro,Ġproton,STANCE,Ġproton,Ġatomic,Ġatomic,Ġatomic,Ġatomic,Ġatom,Ð»Ð°Ð²,ÏĦÎ¹Îº,ptest,ptest,specialchars,ptest,Uvs,.$.,avigator,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Hubble Space Telescope was launched in ____
 Answer: ",Ġ,198,198,198,198,199,199,199,199,199,199,199,199,ĠShuttle,.nih,_processors,ukan,acen,specialchars,WARDED,ÑĤÐ¾Ñİ,.$.,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The periodic table was first developed by ____
 Answer: ",1,1,1,ĠMend,ĠMend,Ġperiodic,Ġchem,Ġchem,Ġchem,Ġchem,Ġchem,186,186,186,Ġanswer,iteDatabase,Î¼Î¼,ĠWr,ĠSab,acha,ÑĤÐ¾Ñİ,ateg,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The formula for the volume of a pyramid is ____
 Answer: ",1,ĠV,ĠV,1,_vlog,Ġpy,Ġpy,Ġpy,Ġpy,Ġvolume,ustum,'gc,ustum,'gc,Ġanswer,'gc,presso,HeaderCode,'gc,#ad,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,icha,ULSE,adera,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest moon of Saturn is ____
 Answer: ",ĠTitan,ĠTitan,ĠEnc,ĠEnc,ĠEnc,ĠSaturn,Ġmoons,Ġmoons,Ġmoons,Ġmoons,Ġmoons,è¡Ľ,è¡Ľ,Ġmoons,akit,'gc,à¹Īà¸Ńà¸¢,'gc,'gc,acha,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The year the Wright brothers flew was ____
 Answer: ",Ġ,190,190,190,190,190,190,190,190,190,190,191,191,191,ussy,presso,Ġyears,Uvs,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,:uint,#ab,avigator,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The hottest planet in the solar system is ____
 Answer: ",1,1,ĠVenus,ĠVenus,ĠMercury,ĠMercury,ĠVenus,ĠVenus,Ġhottest,#NAME?,Ġhottest,#NAME?,#NAME?,Ġhotter,Ġhotter,MLE,Ġb,aData,'gc,<typeof,Uvs,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The ancient city of Rome is located in ____
 Answer: ",1,1,1,ĠItaly,ĠItaly,ĠRome,ĠItaly,ĠRome,ĠRome,ĠRome,Ġ,Ġanswer,ĠRome,Ġanswer,Ġanswer,presso,ukan,Ġcirc,ĠSab,uent,ÑĤÐ¾Ñİ,ession,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The year World War II ended was ____
 Answer: ",Ġ,194,194,194,194,194,194,194,194,194,194,194,194,194,194,ptest,ÑĢÑĸÑĪ,ktop,'gc,:Event,ycastle,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The Statue of Liberty was gifted by ____
 Answer: ",ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ĠFrance,ABCDEFGHIJKLMNOP,ABCDEFGHIJKLMNOP,ivos,egal,egal,ĠWr,'gc,acha,ycastle,ltk,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The most populous city in the world is ____
 Answer: ",1,1,1,1,ĠShanghai,ĠShanghai,ĠShanghai,ĠShanghai,ĠShanghai,Ġmeg,Ġpopulation,Ġpopulation,Ġpopulation,Ġpopulation,#ab,larg,à¹Īà¸Ńà¸¢,TOTYPE,ĠSab,Ø´ÛĮ,:uint,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The only continent without snakes is ____
 Answer: ",1,1,Ġant,ĠAntarctica,ĠAntarctica,ĠAustralia,ĠAntarctica,ĠAntarctica,ĠAntarctica,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġnone,Ġanswer,Ġnone,ÑĢÐ¾Ð³,Ġcirc,ĠSab,acha,:uint,ession,.$.,STYPE,ibri,ibri,ULSE,iversit,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The number of states in the USA is ____
 Answer: ",Ġ,50,50,50,50,ĠcreateState,#NAME?,Ġstates,Ġstates,Ġstates,Ġstates,#NAME?,ĠSTATES,hiba,hiba,apel,Ġcount,bÃŃ,ĠSab,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,ycastle,.$.,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Taj Mahal was built by Emperor ____
 Answer: ",ĠShah,ĠShah,ĠShah,ĠShah,ĠAur,ĠAur,ĠAur,ĠLod,ĠLod,ĠLod,ĠLod,#af,ĠLod,ateg,'gc,opa,ukan,Ġcirc,'gc,:Event,ĠMits,.Metro,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Italy is ____
 Answer: ",1,1,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,Ġcapital,Ġcapital,Ġcapital,presso,'gc,ĠSab,<typeof,:uint,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Amazon rainforest is often called the ____ of the planet
 Answer: ",ĠL,Ġlungs,Ġlungs,Ġrain,Ġrain,Ġrain,Ġrain,Ġrain,Ġrain,Ġrain,ystore,Ġanswer,hoot,RetVal,Ġanswer,presso,presso,'gc,ĠSab,ĠBrace,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,DL,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The number of neutrons in carbon-12 is ____
 Answer: ",6,6,6,6,icode,@Web,carbon,Ġcarbon,Ġcarbon,Ġcarbon,Ġpro,\Bridge,\Bridge,Ġpro,LEAR,aris,.nih,ContentLoaded,ptest,ptest,ÑĤÐ¾Ñİ,.$.,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The planet known as the Red Planet is ____
 Answer: ",1,1,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,ĠMars,Ġred,ī,iteDatabase,Ġanswer,Ġanswer,presso,presso,presso,'gc,uent,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" The most abundant metal on Earth is ____
 Answer: ",1,1,Ġaluminium,Ġiron,Ġiron,Ġiron,Ġiron,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġb,_drvdata,Ġcirc,ĠSab,<typeof,logradouro,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The element with the highest melting point is ____
 Answer: ",1,1,Ġnoble,Ġnoble,Ġnoble,Ġpall,Ġpall,Ġplatinum,Ġanswer,Ġanswer,.HE,.HE,Opaque,Ġanswer,Ġanswer,gfx,.onView,ktop,ycastle,<typeof,ÑĤÐ¾Ñİ,.$.,avigator,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The lowest temperature ever recorded on Earth was in ____
 Answer: ",ĠAntarctica,1,ĠAnt,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,Ġtemperatures,Ġtemperatures,ĠUPDATED,emoc,ILogger,ĠSab,acha,Uvs,.$.,.scalablytyped,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The equation 𝑦=𝑚𝑥+𝑐 represents a ____
 Answer: ",1,Ġline,Ġline,Ġline,ouser,ouser,Ġlinear,dued,çº¿,Ġlinear,OptionsResolver,çŃĶ,grese,presso,presso,presso,presso,LastError,LastError,ptest,ÑĤÐ¾Ñİ,Sharper,.$.,STYPE,ibri,icha,ULSE,ULSE,_nh,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" y=mx+c represents a ____
 Answer: ",1,ĠStraight,Ġstraight,Ġline,straight,ouser,Ġstraight,Ġstraight,ĠLines,Ġlinear,Ġlinear,Ġlinear,rette,bsp,egal,egal,egal,ĠWr,.opensource,uent,ÏĦÏİ,UnitTest,Writes,.scalablytyped,ibri,icha,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first programming language designed was ____
 Answer: ",1,ĠFort,ĠFort,Ġassembly,Ġassembly,ĠFort,Ġpunched,ĠFort,Ġprogramming,Ġprogramming,Ġprogramming,Ġprogram,Ġanswer,ĠMcMahon,uC,egie,ipple,oust,ĠSab,ĠBrace,logradouro,ession,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,å»,'gc,íĨ¤
" A gigabyte is equal to ____ megabytes
 Answer: ",Ġ,102,102,102,102,102,Ġgig,omb,'gc,GMEM,GMEM,GMEM,'gc,ĠEg,#af,okrat,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,Uvs,onnen,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,UnitTest,Ġeg,STYPE,ibri,ibri,adera,adera,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The value of tan(45°) is ____
 Answer: ",1,1,1,1,1,1,Ġtan,Ġtan,Ġtan,Ġtan,processable,processable,ī,ī,'gc,'gc,ktop,aeper,LastError,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The solution to 4x=16 is ____
 Answer: ",Ġ,4,4,4,4,16,4,4,4,ī,iteDatabase,angstrom,presso,Ð»ÑĥÑĪ,presso,presso,presso,Uvs,Uvs,ekil,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The perimeter of a circle is also called the ____
 Answer: ",1,1,ĠCirc,Ġdiameter,Ġdiameter,Ġdiameter,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircum,Ġanswer,URLException,ī,Ġanswer,presso,presso,HeaderCode,'gc,acha,ÑĤÐ¾Ñİ,CurrentValue,.scalablytyped,STYPE,ibri,icha,ULSE,ĠINLINE,merc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The unit circle has a radius of ____
 Answer: ",1,1,1,1,1,radius,radius,radius,radius,Ġunit,Ġunit,radius,Ġunit,'gc,'gc,'gc,ktop,'gc,LIK,rophy,Uvs,#ab,avigator,STYPE,ibri,icha,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The cosine rule is used for finding ____
 Answer: ",1,Ġsides,Ġsides,Ġsides,Ġlengths,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġhyp,ī,Ġunm,ìłĿ,/Area,ĠWr,ĠSab,uent,ÑĤÐ¾Ñİ,#ab,.scalablytyped,STYPE,ibri,icha,ULSE,ĠINLINE,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The formula for distance is ____
 Answer: ",Ġd,Ġd,Ġd,Ġd,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,Ġdistance,.GraphicsUnit,Uvs,'gc,uent,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first mechanical computer was invented by ____
 Answer: ",1,ĠBl,ĠCharles,ĠJacqu,ĠJacqu,ĠJacqu,Ġpunched,ĠJacqu,abbage,Ġmachines,Ġmachines,abbage,emek,emek,ateg,äºķ,Ġmoon,ĠSab,ĠSab,ĠBrace,ÑĤÐ¾Ñİ,#ab,.$.,STYPE,ibri,ibri,ICAST,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The scientist who formulated the laws of motion was ____
 Answer: ",1,1,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,ĠNewton,Ġanswer,Ġanswer,iteDatabase,iteDatabase,Ġanswer,ussy,presso,HeaderCode,'gc,ptest,ÑĤÐ¾Ñİ,.$.,.$.,STYPE,ibri,ibri,ULSE,ĠINLINE,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The protagonist of ""Naruto"" dreams of becoming the leader of his village, known as the ____.
 Answer: ",ĠHok,"Ġ""",Ġvillage,Ġvillage,Ġvillage,Ġvillage,Ġvillage,Ġvillage,ĠCrane,.nih,legen,.nih,ī,ateg,ī,presso,presso,Uvs,ĠSab,ĠSab,logradouro,ÏĦÎµÎ¹,ivent,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" In ""Dragon Ball Z,"" Goku transforms into a powerful warrior called ____ Saiyan.
 Answer: ",ĠSuper,ĠSuper,ĠSuper,ĠVeget,ĠVeget,ĠVeget,ĠVeget,ĠVeget,ĠVeget,ĠVeget,_mex,'gc,ī,.ISupportInitialize,Ġanswer,ipple,'gc,'gc,'gc,emale,Seeder,#ab,Ġstag,ORMAT,ibri,ibri,ICAST,adera,adera,ĠkonkrÃ©t,adera,'gc,íĨ¤
" The main character in ""Attack on Titan"" is named ____ Yeager.
 Answer: ",ĠE,ĠE,ĠLevi,ĠLevi,ĠLevi,ĠLevi,ĠHaj,ĠHaj,ĠHaj,ĠHaj,ĠHaj,Î¼Î¼,ĠMetroFramework,Å¡ak,okrat,iteDatabase,ĠSab,ĠSab,'gc,yre,logradouro,.Metro,Ġstag,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The weapon used by Ichigo Kurosaki in ""Bleach"" is called ____.
 Answer: ",ĠZ,ĠZ,ĠHollow,ĠSubstitute,ĠSubstitute,ĠSubstitute,Ġswords,Ġswords,Ġswords,usters,createQuery,itou,.habbo,#af,usu,ktop,.PropTypes,'gc,'gc,chg,logradouro,.Metro,ÏĦÎµÎ¹,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The anime ""One Piece"" follows the adventures of a pirate crew searching for the legendary treasure known as the ____.
 Answer: ",ĠOne,ĠOne,ĠOne,ĠOne,asure,asure,asure,asure,Ġtreasure,asure,asure,asure,asure,asure,Ġanswer,ossal,presso,ongyang,ĠSab,emale,logradouro,.Metro,ivent,sst,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,adera,'gc,íĨ¤
" In ""My Hero Academia,"" Izuku Midoriya inherits a powerful Quirk called ____ for All.
 Answer: ",ĠOne,ĠOne,ĠOne,ĠOne,ĠUA,Ġabilities,Ġabilities,Ġpowers,Ġabilities,Ġpowers,ĠJustice,Ġabilities,turnstile,Ġpowers,Ġpowers,Tpl,.PropTypes,ĠWr,ĠSab,emale,logradouro,UnitTest,'gc,sst,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,adera,'gc,íĨ¤
" The notebooks in ""Death Note"" have the ability to ____ anyone whose name is written in them.
 Answer: ",Ġkill,Ġkill,Ġkill,Ġkill,Ġkill,Ġkill,Ġkill,Ġkill,Ġdeath,Ġdeath,Ġdeath,Ġdeath,ī,ī,presso,presso,fillType,_tA,'gc,iddi,ssp,UnitTest,Ġstag,STYPE,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Edward Elric and his brother Alphonse practice ____ in ""Fullmetal Alchemist.""
 Answer: ",ĠAl,Ġal,Ġal,Ġal,Ġal,Ġmetall,uster,ombat,Ġmetall,Ġmetall,atel,Rnd,Rnd,atel,atel,atel,presso,ongyang,ĠSab,******/,logradouro,#ab,ãĥĭãĤ¢,ãĥĭãĤ¢,ibri,ibri,ULSE,adera,'gc,orget,'gc,'gc,íĨ¤
" In ""Demon Slayer,"" Tanjiro Kamado wields a sword that changes color based on its ____.
 Answer: ",ĠAnswer,ĠAnswer,ĠAnswer,ĠAnswer,ĠDemon,Ġanswer,ĠAnswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ĠaddCriterion,Ġanswer,Ġanswer,Ġanswer,QUIRED,styleType,HeaderCode,'gc,iddi,logradouro,#ab,.Undef,sst,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The anime ""Sword Art Online"" takes place in a ____ reality game.
 Answer: ",ĠVirtual,Ġvirtual,Ġvirtual,Ġvirtual,Ġvirtual,Ġvirtual,Ġvirtual,Ġworlds,Ġvirtual,Ġreality,Ġvirtual,Ġworlds,Ġworlds,Ġworlds,íĺ¼,íĺ¼,ukan,presso,ĠSab,emale,logradouro,.Metro,'gc,STYPE,ibri,ibri,ULSE,adera,adera,ĠkonkrÃ©t,adera,'gc,íĨ¤
" The giant robots in ""Neon Genesis Evangelion"" are called ____.
 Answer: ",ĠEvangel,ĠE,ĠEva,ĠEva,ĠEva,ĠEvangel,ĠEvangel,ĠEvangel,Ġpil,@student,longleftrightarrow,iteDatabase,\xff,Ġ',Ġ',alim,à¹Īà¸Ńà¸¢,leftright,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,logradouro,.Metro,.Undef,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,otel,orget,'gc,'gc,íĨ¤
" In ""Tokyo Ghoul,"" Ken Kaneki becomes a half-____.
 Answer: ",Ġgh,Ġgh,Ġgh,Ġgh,Ġgh,Ġgh,Ġgh,Ġgh,leDb,Ġgr,Ġhumans,ī,ī,ī,ī,presso,ĠB,presso,ĠSab,emale,emale,Ġstag,Ġstag,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The village where Naruto Uzumaki grows up is called ____ Village.
 Answer: ",ĠKon,ĠKon,ĠKon,ĠHidden,ĠHidden,ĠHidden,ĠHidden,Ġvillage,ĠNaruto,ĠNaruto,Ġvillage,Ġvillage,Ġprest,ateg,Ġbes,presso,ipple,'gc,'gc,ĠSab,ssp,UnitTest,Ð»ÑĸÑĤ,STYPE,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" In ""One Punch Man,"" Saitama becomes the world's strongest hero but struggles with ____ boredom.
 Answer: ",ĠB,ĠB,Ġbore,Ġbore,Ġbore,Ġbore,Ġbore,Ġanswer,Ġanswer,Ġanswer,inel,AtA,AtA,AtA,Ġanswer,grese,Drv,ÏĦÏİ,'gc,iddi,logradouro,.Metro,'gc,ãĤ¯ãĤ·ãĥ§ãĥ³,ibri,ibri,ULSE,adera,adera,ĠkonkrÃ©t,adera,'gc,íĨ¤
" The character Levi Ackerman in ""Attack on Titan"" is famous for his exceptional ____ skills.
 Answer: ",ĠLevi,ĠLevi,Ġstrength,Ġstrength,Ġstrength,Ġstrength,Ġstrength,Ġanswer,Ġanswer,jug,jug,ī,Ġanswer,Ġanswer,Ġanswer,presso,presso,'gc,'gc,iddi,logradouro,.Metro,avigator,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,otel,ĠkonkrÃ©t,adera,'gc,íĨ¤
" Light Yagami in ""Death Note"" is pursued by a detective known only as ____.
 Answer: ",ĠL,ĠL,ĠLight,ĠLight,ombo,ombo,ĠInvestigations,ĠInvestigations,ĠInsp,/**ĊĊ,ĠInvestigations,esan,Ġpolice,ī,ugin,presso,presso,presso,'gc,emale,logradouro,ÏĦÎµÎ¹,ãĥĭãĤ¢,ãĥĭãĤ¢,ibri,ibri,ICAST,adera,adera,orget,'gc,'gc,íĨ¤
" In ""Dragon Ball Z,"" Vegeta is the prince of the ____ race.
 Answer: ",ĠSai,ĠSai,ĠSai,Ġanswer,ĠSai,Ġanswer,Ġanswer,Ġplanet,Ġplanet,ATEG,_mex,RetVal,RetVal,_mex,interop,RetVal,ipple,initWith,'gc,acha,logradouro,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,adera,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Straw Hat Pirates' ship in ""One Piece"" is called the ____ Merry.
 Answer: ",ĠThe,ĠThompson,Ġship,wan,wan,ĠMerry,esan,esan,Ġvessels,Ġvessel,vern,ossal,urus,chedulers,akit,'gc,'gc,'gc,'gc,iddi,logradouro,.Metro,Ð»ÑĸÑĤ,ãĤ¦ãĥĪ,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The main villain in ""Naruto"" is an organization called the ____.
 Answer: ",ĠAk,ĠAk,Ġanswer,organisation,ĠSharing,ĠOro,ĠOro,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġ,presso,'gc,'gc,ĠBrace,logradouro,ÏĦÎµÎ¹,Ġstag,ãĤ¦ãĥĪ,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" In ""My Hero Academia,"" Katsuki Bakugo’s Quirk allows him to create ____ explosions.
 Answer: ",1,1,1,1,exp,exp,exp,exp,iteDatabase,iteDatabase,iteDatabase,iteDatabase,iteDatabase,iteDatabase,Ġanswer,isphere,Ð°Ð½ÑģÐ¸,Uvs,.synthetic,iddi,logradouro,#ab,'gc,ãĤ¯ãĤ·ãĥ§ãĥ³,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Real-Life Situations with Anime Characters
 Answer: ",ĠAnswer,ĠUsing,ĠUsing,ĠUsing,ĠUsing,ĠUsing,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ĠUsing,Ġanswer,iteDatabase,iteDatabase,Ġassistir,'gc,'gc,@brief,PERT,emale,.Undef,#ab,´ĳ,'gc,à¹Īà¸²à¸¢,ibri,ULSE,adera,otel,orget,ĠBodies,'gc,íĨ¤
" Goku forgot his grocery list while shopping and accidentally bought ____ instead of milk.
 Answer: ",1,1,ĠOre,Ġcottage,Ġcottage,Ġmilk,Ġmilk,Ġmilk,Ġmilk,Ġmilk,ĠdestinationViewController,Ġinstead,teg,eler,Ġanswer,jom,presso,STYPE,ĠSab,]âĢı,ssp,.Metro,avigator,STYPE,ibri,icha,ULSE,adera,'gc,orget,'gc,'gc,íĨ¤
